FID,CODI_ACCES_ESTACIO_LINIA,CODI_ACCES_ESTACIO,ID_ACCES,CODI_ACCES,NOM_ACCES,NUM_ASCENSORS,ID_TIPUS_ACCESSIBILITAT,NOM_TIPUS_ACCESSIBILITAT,CODI_ESTACIO_LINIA,CODI_ESTACIO,CODI_GRUP_ESTACIO,NOM_ESTACIO,ORDRE_ESTACIO,ID_LINIA,CODI_LINIA,NOM_LINIA,ORDRE_LINIA,DATA,GEOMETRY
ACCESSOS_EST_LINIA.100011101,100011101,11101,219,11101,Residència sanitària,1,1,Accessible,111,111,6660111,Hospital de Bellvitge,1,4,1,L1,1,2022-05-07,POINT (2.1066690928052068 41.34435669904031)
ACCESSOS_EST_LINIA.100011201,100011201,11201,220,11201,Rambla de la Marina / Avda. Granvia,1,1,Accessible,112,112,6660112,Bellvitge,2,4,1,L1,1,2022-05-07,POINT (2.1115154528942424 41.35089549772364)
ACCESSOS_EST_LINIA.100011202,100011202,11202,221,11202,Rambla de la Marina / Merca 2,0,3,No accessible,112,112,6660112,Bellvitge,2,4,1,L1,1,2022-05-07,POINT (2.1108418043280226 41.35075144720632)
ACCESSOS_EST_LINIA.100011211,100011211,11211,223,11211,Rambla de la Marina / Trav. Industrial,0,3,No accessible,112,112,6660112,Bellvitge,2,4,1,L1,1,2022-05-07,POINT (2.110940199167465 41.351420324574185)
ACCESSOS_EST_LINIA.100011212,100011212,11212,222,11212,Rambla de la Marina / Mercat Municipal,0,3,No accessible,112,112,6660112,Bellvitge,2,4,1,L1,1,2022-05-07,POINT (2.110483123470267 41.35123702229523)
ACCESSOS_EST_LINIA.100011301,100011301,11301,224,11301,Prat de la Riba,0,3,No accessible,113,113,6660113,Av. Carrilet,3,4,1,L1,1,2022-05-07,POINT (2.1024228956393722 41.359400721158295)
ACCESSOS_EST_LINIA.100011311,100011311,11311,225,11311,Avinguda Carrilet,1,1,Accessible,113,113,6660113,Av. Carrilet,3,4,1,L1,1,2022-05-07,POINT (2.1026678046332026 41.35799997470539)
ACCESSOS_EST_LINIA.100011401,100011401,11401,226,11401,Avinguda Can Serra,0,3,No accessible,114,114,6660114,Rambla Just Oliveras,4,4,1,L1,1,2022-05-07,POINT (2.099884244999859 41.36442392220162)
ACCESSOS_EST_LINIA.100011402,100011402,11402,227,11402,Rambla Just Oliveras,0,3,No accessible,114,114,6660114,Rambla Just Oliveras,4,4,1,L1,1,2022-05-07,POINT (2.1000181295355995 41.36352362942928)
ACCESSOS_EST_LINIA.100011403,100011403,11403,228,11403,Renfe,1,1,Accessible,114,114,6660114,Rambla Just Oliveras,4,4,1,L1,1,2022-05-07,POINT (2.1001537907418517 41.363993847124455)
ACCESSOS_EST_LINIA.100011501,100011501,11501,229,11501,Parc de les Planes,0,3,No accessible,115,115,6660115,Can Serra,5,4,1,L1,1,2022-05-07,POINT (2.1036034869413283 41.368062440863504)
ACCESSOS_EST_LINIA.100011502,100011502,11502,230,11502,Avinguda Can Serra,1,1,Accessible,115,115,6660115,Can Serra,5,4,1,L1,1,2022-05-07,POINT (2.103393034797958 41.367609047748324)
ACCESSOS_EST_LINIA.100011601,100011601,11601,231,11601,Avinguda Masnou,1,1,Accessible,116,116,6660116,Florida,6,4,1,L1,1,2022-05-07,POINT (2.1101198001719417 41.3684718848501)
ACCESSOS_EST_LINIA.100011602,100011602,11602,232,11602,Blocs Florida,0,3,No accessible,116,116,6660116,Florida,6,4,1,L1,1,2022-05-07,POINT (2.110131816040232 41.36817778265412)
ACCESSOS_EST_LINIA.100011711,100011711,11711,233,11711,Av. Catalunya,1,1,Accessible,117,117,6660117,Torrassa,7,4,1,L1,1,2022-05-07,POINT (2.1162009470409284 41.36858674069323)
ACCESSOS_EST_LINIA.100011712,100011712,11712,234,11712,Rosalía de Castro,0,3,No accessible,117,117,6660117,Torrassa,7,4,1,L1,1,2022-05-07,POINT (2.116832736177879 41.36809030931978)
ACCESSOS_EST_LINIA.100011801,100011801,11801,235,11801,Pont de la Torrassa,0,1,Accessible,118,118,6660118,Santa Eulàlia,8,4,1,L1,1,2022-05-07,POINT (2.1277569308975917 41.36843360778033)
ACCESSOS_EST_LINIA.100011811,100011811,11811,236,11811,Riera Blanca,0,3,No accessible,118,118,6660118,Santa Eulàlia,8,4,1,L1,1,2022-05-07,POINT (2.1302308954788196 41.36974254111025)
ACCESSOS_EST_LINIA.100011901,100011901,11901,237,11901,Riera de Tena,0,1,Accessible,119,119,6660119,Mercat Nou,9,4,1,L1,1,2022-05-07,POINT (2.1332361525006363 41.372528756737076)
